"city","region","country_code","latitude","longitude","order_count","total_revenue","aov"
Pomáz,Pest,HU,47.6423,19.0278,28,769.16,27.47
Veresegyház,Pest,HU,47.6459,19.2954,36,1222.6,33.96
Albertirsa,Pest,HU,47.2431,19.6169,18,543.49,30.19
Budaörs,Pest,HU,47.4618,18.9585,35,1194.67,34.13
Szigethalom,Pest,HU,47.3223,19.0026,26,1127.19,43.35
Gödöllő,Pest,HU,47.5966,19.3552,25,820.34,32.81
Érd,Pest,HU,47.3949,18.9136,67,2296.32,34.27
Cegléd,Pest,HU,47.1727,19.7995,54,1780.64,32.97
Nagykőrös,Pest,HU,47.0342,19.7786,25,691.35,27.65
Göd,Pest,HU,47.6832,19.1342,23,619.52,26.94
Vecsés,Pest,HU,47.407,19.2865,21,586.44,27.93
Vác,Pest,HU,47.7759,19.1361,36,1144.37,31.79
Szentendre,Pest,HU,47.6694,19.0756,28,814.89,29.1
Gyál,Pest,HU,47.3845,19.2214,24,850.88,35.45
Dabas,Pest,HU,47.1859,19.3109,26,1120.65,43.1
Dunakeszi,Pest,HU,47.6364,19.1386,47,1505.39,32.03
Fót,Pest,HU,47.6177,19.1887,18,515.72,28.65
Dunaharaszti,Pest,HU,47.3545,19.0982,23,701.06,30.48
Plzeň,Plzeňský kraj,CZ,49.755297,13.427263,24,1215.9,50.66
Rokycany,Plzeňský kraj,CZ,49.745167,13.6083003,27,1056.48,39.13
Plzeň,Plzeňský kraj,CZ,49.7462527,13.3218077,21,1052.1,50.1
Sušice,Plzeňský kraj,CZ,49.2237695,13.5435793,27,1513.92,56.07
Plzeň,Plzeňský kraj,CZ,49.7717191,13.3700792,53,2531.69,47.77
Klatovy,Plzeňský kraj,CZ,49.3893942,13.2978746,31,1100.59,35.5
Plzeň,Plzeňský kraj,CZ,49.7236606,13.4096959,42,1604.91,38.21
Plzeň,Plzeňský kraj,CZ,49.7294725,13.3689531,58,2432.66,41.94
Siófok,Somogy,HU,46.9041,18.058,27,728.4,26.98
"Kaposvár, Zselickislak",Somogy,HU,46.3388,17.79975,63,2117.1,33.6
Kladno,Středočeský kraj,CZ,50.1404622,14.1074626,61,2435.14,39.92
Příbram,Středočeský kraj,CZ,49.6872542,14.0052167,38,1730.7,45.54
Benešov,Středočeský kraj,CZ,49.7879165,14.7048467,21,654.82,31.18
Neratovice,Středočeský kraj,CZ,50.2611342,14.5131378,20,785.69,39.28
Mladá Boleslav,Středočeský kraj,CZ,50.4161096,14.9097968,54,2027.83,37.55
Rakovník,Středočeský kraj,CZ,50.1044063,13.730786,29,1320.52,45.54
Říčany,Středočeský kraj,CZ,49.9910539,14.6581176,30,1057.2,35.24
Kutná Hora,Středočeský kraj,CZ,49.9396987,15.2649089,28,1161.42,41.48
Beroun,Středočeský kraj,CZ,49.9699679,14.0773683,28,997.42,35.62
Kolín,Středočeský kraj,CZ,50.0329255,15.1907201,41,1592.2,38.83
Nyíregyháza,Szabolcs-Szatmár-Bereg,HU,47.9554,21.7167,88,3501.18,39.79
Szekszárd,Tolna,HU,46.3501,18.7091,38,1121.96,29.53
Szombathely,Vas,HU,47.2309,16.6216,83,2794.95,33.67
Veszprém,Veszprém,HU,47.0933,17.9115,72,2288.44,31.78
Pápa,Veszprém,HU,47.33,17.4674,21,722.08,34.38
Ajka,Veszprém,HU,47.102,17.5589,26,694.07,26.7
Várpalota,Veszprém,HU,47.1994,18.1395,23,692.0,30.09
Keszthely,Zala,HU,46.7681,17.2432,21,436.76,20.8
Nagykanizsa,Zala,HU,46.4535,16.991,37,1276.43,34.5
Zalaegerszeg,Zala,HU,46.84,16.8439,53,1709.24,32.25
Rožnov pod Radhoštěm,Zlínský kraj,CZ,49.4617562,18.1534454,24,1038.76,43.28
Kroměříž,Zlínský kraj,CZ,49.288593,17.3902111,36,1583.62,43.99
Vsetín,Zlínský kraj,CZ,49.3348676,17.9938025,21,674.93,32.14
Valašské Meziříčí,Zlínský kraj,CZ,49.4645424,17.9755512,29,1169.03,40.31
Otrokovice,Zlínský kraj,CZ,49.2111033,17.527221,26,1204.29,46.32
Zlín,Zlínský kraj,CZ,49.236279,17.66626,23,854.98,37.17
Uherské Hradiště,Zlínský kraj,CZ,49.0693574,17.4526455,18,720.0,40.0
Zlín,Zlínský kraj,CZ,49.22363,17.6745867,58,2452.85,42.29
Ústí nad Labem,Ústecký kraj,CZ,50.6751155,14.0376832,27,974.15,36.08
Kadaň,Ústecký kraj,CZ,50.3784578,13.2773513,18,715.69,39.76
Roudnice nad Labem,Ústecký kraj,CZ,50.419107,14.2481148,24,1029.34,42.89
